,brand,3G,4G,5G,Announced,Weight,Length,Width,Diameter,Display Type,Display Size,ppi,body ratio,OS,battery_capacity,Price,CPU,pixel,Loudspeaker,3.5mm jack,Chipset,RAM,Storage,Micro-SIM,Mini-SIM,Nano-SIM,eSIM,ratio_1,ratio_2
2097,10,True,True,False,2018,150.0,148.9,68.1,8.0,6,5.8,426.0,84.2,0,3000.0,400.0,8.0,2397600.0,True,True,6,4.0,64.0,False,False,True,False,5.0,9.0
165,2,True,True,False,2018,140.0,147.3,71.8,8.2,1,5.45,295.0,72.5,0,3000.0,80.0,8.0,1036800.0,True,True,6,2.0,16.0,False,False,True,False,18.0,9.0
248,2,True,False,False,2014,115.0,124.4,61.4,4.9,7,4.0,233.0,59.6,0,1200.0,130.0,2.0,384000.0,True,True,2,1.0,4.0,True,False,False,False,5.0,3.0
1331,11,True,True,False,2019,164.0,158.0,68.0,8.2,3,6.1,449.0,80.9,0,3140.0,500.0,8.0,2721600.0,False,False,6,6.0,128.0,False,False,True,False,21.0,9.0
446,4,True,False,False,2014,140.0,132.4,68.0,11.3,7,4.5,218.0,62.0,0,2000.0,150.0,4.0,409920.0,True,True,4,1.0,4.0,False,True,False,False,16.0,9.0
1545,13,True,True,False,2017,173.0,152.6,72.4,7.6,1,5.5,403.0,74.7,0,3200.0,300.0,8.0,2073600.0,True,False,6,6.0,64.0,False,False,True,False,16.0,9.0
858,7,True,True,False,2019,185.0,157.5,74.6,8.7,6,6.39,403.0,85.3,0,4000.0,430.0,8.0,2527200.0,True,True,6,6.0,128.0,False,False,True,False,5.0,9.0
1358,11,True,True,False,2016,137.4,143.6,66.8,7.9,1,5.0,294.0,71.8,0,2300.0,200.0,8.0,921600.0,True,True,4,2.0,16.0,False,False,True,False,16.0,9.0
1623,13,True,False,False,2011,389.0,202.0,122.0,12.6,2,7.0,170.0,56.0,0,3400.0,250.0,5.847807757166947,614400.0,True,True,6,0.5,4.0,False,True,False,False,16.0,9.0
97,1,True,True,True,2021,141.0,131.5,64.2,7.7,5,5.4,476.0,85.1,2,2438.0,449.0,6.0,2527200.0,False,False,0,4.0,128.0,False,False,False,True,5.0,9.0
1562,13,True,True,False,2016,162.0,151.8,72.3,7.5,1,5.5,403.0,75.2,0,3000.0,280.0,4.0,2073600.0,True,True,6,4.0,64.0,False,False,True,False,16.0,9.0
805,6,True,True,False,2022,184.5,164.4,76.7,7.9,0,6.7,393.0,86.0,0,5000.0,190.0,8.0,2592000.0,False,True,4,4.0,64.0,False,False,True,False,20.0,9.0
737,5,True,True,False,2014,329.0,214.4,120.7,7.9,1,8.0,189.0,71.7,0,4800.0,300.0,4.0,1024000.0,False,True,3,1.0,8.0,True,False,False,False,16.0,10.0
1838,12,True,True,False,2019,180.0,158.7,75.6,8.5,1,6.26,269.0,81.5,0,4000.0,150.0,8.0,1094400.0,True,True,6,2.0,16.0,False,False,True,False,19.0,9.0
1750,12,True,True,True,2021,159.0,160.5,75.7,6.8,0,6.55,402.0,85.3,0,4250.0,153.16,8.0,2592000.0,False,False,6,6.0,64.0,False,False,True,False,20.0,9.0
102,1,True,True,True,2020,164.0,146.7,71.5,7.4,5,6.1,460.0,86.0,2,2815.0,346.88,6.0,2962440.0,False,False,0,4.0,64.0,False,False,False,True,5.0,9.0
434,4,True,True,False,2014,160.0,146.4,70.6,9.4,2,5.0,441.0,66.7,1,2600.0,300.0,4.0,2073600.0,False,True,6,2.0,32.0,False,False,True,False,16.0,9.0
74,0,True,False,False,2013,136.5,121.5,64.0,11.8,7,4.0,233.0,58.6,0,1400.0,140.0,5.847807757166947,384000.0,True,True,4,0.5,4.0,False,True,False,False,5.0,3.0
577,5,True,True,False,2020,500.0,257.0,170.0,7.2,1,10.8,280.0,77.4,0,7500.0,300.0,8.0,4096000.0,False,True,3,6.0,64.0,False,False,True,False,16.0,10.0
1610,13,True,False,False,2013,120.0,134.8,65.8,7.6,1,4.7,312.0,68.7,0,2000.0,230.0,4.0,921600.0,True,True,6,2.0,16.0,True,False,False,False,16.0,9.0
2313,10,True,False,False,2011,345.0,193.7,122.4,9.9,2,7.0,170.0,58.2,0,4000.0,260.0,2.0,614400.0,False,True,1,1.0,16.0,False,True,False,False,16.0,9.0
1230,9,True,True,False,2021,191.0,169.9,77.9,8.8,1,6.52,269.0,77.5,0,3000.0,80.0,8.0,1152000.0,True,True,7,1.0,16.0,False,False,True,False,20.0,9.0
918,7,True,True,False,2015,189.0,152.9,75.6,9.9,1,5.5,401.0,72.1,0,5000.0,380.0,8.0,2073600.0,True,True,6,2.0,32.0,False,False,True,False,16.0,9.0
1326,11,True,True,True,2020,225.1,170.2,76.2,10.2,3,6.5,643.0,76.0,0,4000.0,2000.0,8.0,6312960.0,False,True,6,12.0,512.0,False,False,True,False,21.0,9.0
2175,10,True,True,False,2015,131.0,130.1,67.6,9.5,6,4.3,217.0,59.8,0,1900.0,140.0,4.0,384000.0,True,True,7,0.5,4.0,True,False,False,False,5.0,3.0
2149,10,True,True,False,2016,154.0,132.9,70.1,10.0,2,4.5,207.0,61.9,0,2200.0,200.0,4.0,384000.0,True,True,1,1.5,8.0,True,False,False,False,5.0,3.0
2111,10,True,True,False,2017,415.0,127.6,214.7,9.9,2,8.0,189.0,67.7,0,4450.0,390.0,8.0,1024000.0,False,True,1,3.0,16.0,False,False,True,False,16.0,10.0
762,5,True,False,False,2012,125.0,116.8,61.0,11.7,7,3.5,165.0,51.2,0,1400.0,60.0,5.847807757166947,153600.0,True,True,6,0.25,0.25,False,True,False,False,3.0,2.0
989,7,True,False,False,2012,161.0,133.0,67.0,11.9,1,4.5,245.0,62.6,0,3500.0,140.0,2.0,518400.0,True,True,4,1.0,4.0,False,True,False,False,16.0,9.0
388,4,True,True,False,2016,155.0,156.9,76.9,7.7,1,5.5,267.0,69.1,0,2700.0,200.0,4.0,921600.0,False,True,6,3.0,32.0,False,False,True,False,16.0,9.0
235,2,True,True,False,2014,279.0,200.0,114.4,8.3,1,7.0,323.0,62.1,0,3950.0,240.0,4.0,2304000.0,False,True,2,2.0,16.0,True,False,False,False,16.0,10.0
2026,10,True,True,False,2020,188.0,159.0,75.1,8.9,6,6.4,403.0,84.2,0,6000.0,190.0,8.0,2527200.0,True,True,1,4.0,64.0,False,False,True,False,5.0,9.0
267,3,True,True,False,2021,178.0,160.2,76.7,9.0,1,6.0,268.0,75.6,0,3400.0,50.0,8.0,1036800.0,True,True,4,3.0,32.0,False,False,True,False,18.0,9.0
1329,11,True,True,False,2020,151.0,157.0,69.0,8.2,3,6.0,457.0,77.6,0,3600.0,700.0,8.0,2721600.0,True,True,6,4.0,64.0,False,False,True,False,21.0,9.0
1593,13,True,False,False,2015,120.0,125.0,64.0,9.8,7,4.0,233.0,56.9,0,1200.0,70.0,2.0,384000.0,True,True,4,0.5,4.0,False,True,False,False,5.0,3.0
117,1,True,True,False,2017,174.0,143.6,70.9,7.7,5,5.8,458.0,82.9,2,2716.0,199.0,6.0,2740500.0,False,False,0,3.0,64.0,False,False,True,False,5.0,9.0
437,4,True,True,False,2014,137.0,137.4,65.0,10.6,2,4.5,326.0,62.5,0,2100.0,280.0,4.0,921600.0,False,True,6,1.5,16.0,False,False,True,False,16.0,9.0
673,5,True,True,False,2017,165.0,153.6,76.4,8.4,1,5.5,267.0,71.1,0,4000.0,180.0,8.0,921600.0,True,True,6,3.0,32.0,False,False,True,False,16.0,9.0
249,2,True,True,False,2014,150.0,132.0,66.7,6.2,1,4.5,218.0,63.4,0,2060.0,300.0,2.0,409920.0,True,True,2,1.0,8.0,False,True,False,False,16.0,9.0
