year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2022,nova Y70 Plus,Huawei,8,EMUI,12,"[('64', '4'), ('128', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",168.3 x 77.7 x 9,199,Nano-SIM,6.75,84.1,720 x 1600,260,,6000
2022,P50E,Huawei,8,HarmonyOS,2.0,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'color spectrum']",156.5 x 73.8 x 7.9,181,Nano-SIM,6.5,88.8,1224 x 2700,456,580,4100
2022,nova 9 SE,Huawei,8,Android,11,"[('128', '6'), ('128', '8'), ('256', '8'), ('512', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",164.6 x 75.6 x 7.9,191,Nano-SIM,6.78,89.5,1080 x 2388,387,419.79,4000
2021,P50 Pocket,Huawei,8,HarmonyOS,2.0,"[('256', '8'), ('256', '12'), ('512', '8'), ('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer', 'color spectrum']",Unfolded: 170 x 75.5 x 7.2,190,Nano-SIM,6.9,85.1,1188 x 2790,442,870,4000
2021,nova 8 SE 4G,Huawei,8,HarmonyOS,2.0,"[('128', '8')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",161.5 x 74.8 x 7.5,180,Nano-SIM,6.5,84.4,1080 x 2400,405,290,3800
2021,nova Y60,Huawei,8,Android,10,"[('64', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity']",165.2 x 76 x 9.2,185,Nano-SIM,6.6,83.8,720 x 1600,266,150,5000
2021,Enjoy 20e,Huawei,8,HarmonyOS,2.0,"[('64', '4'), ('128', '4'), ('128', '6')]",111,"['Fingerprint', 'accelerometer', 'proximity']",159.1 x 74.1 x 9,185,Nano-SIM,6.3,81.3,720 x 1600,278,130,5000
2021,Watch GT Runner,Huawei,,HarmonyOS,2.0,"[('4',)]",111,"['Accelerometer', 'gyro', 'heart rate', 'barometer', 'compass', 'SpO2']",46.4 x 46.4 x 11,38.5,,1.43,,466 x 466,461,300,455
2021,Watch Fit mini,Huawei,,Huawei,Lite,,111,"['Accelerometer', 'gyro', 'heart rate', 'SpO2']",51.5 x 25.9 x 11,20,,1.47,,368 x 194,282,100,180
2021,Watch GT 3,Huawei,,HarmonyOS,2.0,"[('4', '32')]",111,"['Accelerometer', 'gyro', 'heart rate', 'barometer', 'compass', 'SpO2', 'thermometer']",45.9 x 45.9 x 11,35,,1.43,,466 x 466,326,120,455
2021,nova 9 Pro,Huawei,8,HarmonyOS,2.0,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",163.4 x 74.4 x 8,186,Nano-SIM,6.72,91.2,1236 x 2676,439,460,4000
2021,nova 9,Huawei,8,HarmonyOS,2.0,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",160 x 73.7 x 7.8,175,Nano-SIM,6.57,89.9,1080 x 2340,392,499.99,4300
2021,nova 8,Huawei,6,Android,11,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",160.1 x 74.1 x 7.6,169,Nano-SIM,6.57,89.3,1080 x 2340,392,420,3800
2021,P50 Pro,Huawei,8,HarmonyOS,2.0,"[('128', '8'), ('256', '8'), ('512', '8'), ('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer', 'color spectrum']",158.8 x 72.8 x 8.5,195,Nano-SIM,6.6,91.2,1228 x 2700,450,1399.99,4360
2021,P50,Huawei,8,HarmonyOS,2.0,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'color spectrum']",156.5 x 73.8 x 7.9,181,Nano-SIM,6.5,88.0,1224 x 2700,458,700,4100
2021,nova 8 SE Youth,Huawei,8,Android,10,"[('128', '8')]",111,"['Fingerprint', 'accelerometer', 'compass']",160.7 x 73.3 x 8.4,179,Nano-SIM,6.6,89.3,1080 x 2400,399,250,4000
