year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,size,screen_to_body_ratio,resolution,ppi_density,price,battery,sim
2014,F70 D315,LG,4,Android,4.4.2,"[('4', '1'), ('8', '1')]",111,"['Accelerometer', 'proximity']",127.2 x 66.4 x 10,129.6,4.5,68.2,480 x 800,207,200,2440,Micro-SIM
2014,G2 mini LTE (Tegra),LG,4,Android,4.4.2,"[('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",129.6 x 66 x 9.8,121,4.7,71.2,540 x 960,234,240,2440,Micro-SIM
2014,G2 mini LTE,LG,4,Android,4.4.2,"[('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",129.6 x 66 x 9.8,121,4.7,71.2,540 x 960,234,180,2440,Micro-SIM
2014,G2 mini,LG,4,Android,4.4.2,"[('8', '1')]",011,"['Accelerometer', 'proximity', 'compass']",129.6 x 66 x 9.8,121,4.7,71.2,540 x 960,234,160,2440,Micro-SIM
2014,L90 Dual D410,LG,4,Android,4.4.2,"[('8', '1')]",011,"['Accelerometer', 'proximity', 'compass']",131.6 x 66 x 9.7,125,4.7,70.1,540 x 960,234,290,2540,Mini-SIM
2014,L90 D405,LG,4,Android,4.4.2,"[('8', '1')]",011,"['Accelerometer', 'proximity', 'compass']",131.6 x 66 x 9.7,126,4.7,70.1,540 x 960,234,170,2540,Mini-SIM
2014,L70 D320N,LG,2,Android,4.4.2,"[('4', '1')]",011,"['Accelerometer', 'proximity']",127.2 x 66.8 x 9.5,124,4.5,67.8,480 x 800,207,150,2100,Mini-SIM
2014,L70 Dual D325,LG,2,Android,4.4.2,"[('4', '1')]",011,"['Accelerometer', 'proximity']",127.2 x 66.8 x 9.5,126.6,4.5,67.8,480 x 800,207,130,2100,Mini-SIM
2014,L45 Dual X132,LG,2,Android,4.4.2,"[('4', '512')]",011,['Accelerometer'],109 x 59.9 x 12,-,3.5,55.9,320 x 480,165,,1540,Micro-SIM
2014,L40 D160,LG,2,Android,4.4.2,"[('4', '512')]",011,['Accelerometer'],109.4 x 59 x 11.9,114,3.5,56.5,320 x 480,165,80,1540,Mini-SIM
2014,L40 Dual D170,LG,2,Android,4.4.2,"[('4', '512')]",011,['Accelerometer'],109.4 x 59 x 11.9,113.4,3.5,56.5,320 x 480,165,90,1700,Mini-SIM
2014,G Pro 2,LG,4,Android,4.4.2,"[('16', '3'), ('32', '3')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",157.9 x 81.9 x 8.3,172,5.9,74.2,1080 x 1920,373,310,3200,Micro-SIM
2013,Optimus L4 II Tri E470,LG,1.0,Android,4.1.2,"[('4', '512')]",011,"['Accelerometer', 'proximity']",112.8 x 64.7 x 12.7,140,3.8,58.9,320 x 480,152,,2150,
2014,Optimus L1 II Tri E475,LG,1.0,Android,4.1.2,"[('4', '512')]",011,"['Accelerometer', 'proximity']",102.6 x 58.9 x 13.3,104.6,3.0,46.1,240 x 320,133,90,1540,
2014,Optimus F3Q,LG,2,Android,4.1.2,"[('4', '1')]",111,"['Accelerometer', 'proximity']",121.9 x 64.8 x 14,159.9,4.0,57.7,480 x 800,233,230,2460,Micro-SIM
2013,GX F310L,LG,4,Android,4.3,"[('32', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",150.6 x 76.1 x 9.2,167,5.5,72.8,1080 x 1920,401,250,3140,Micro-SIM
2013,Nexus 5,LG,4,Android,4.4,"[('16', '2'), ('32', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",137.9 x 69.2 x 8.6,130,4.95,70.8,1080 x 1920,445,260,2300,Micro-SIM
2013,G Flex,LG,4,Android,4.2.2,"[('32', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",160.5 x 81.6 x 8.7,177,6.0,75.8,720 x 1280,245,360,3500,Micro-SIM
2013,Fireweb,LG,1.0,Firefox,OS,"[('2',)]",011,['Accelerometer'],113.8 x 66.5 x 9,122.5,4.0,63.0,320 x 480,144,150,1540,Mini-SIM
2013,G Pro Lite,LG,2,Android,4.1.2,"[('8', '1')]",011,"['Accelerometer', 'proximity', 'compass']",150.2 x 76.9 x 9.4,161,5.5,72.2,540 x 960,200,250,3140,Mini-SIM
2013,G Pro Lite Dual,LG,2,Android,4.1.2,"[('8', '1')]",011,"['Accelerometer', 'proximity', 'compass']",150.2 x 76.9 x 9.4,161,5.5,72.2,540 x 960,200,240,3140,Mini-SIM
2013,Optimus L2 II E435,LG,,Android,4.1.2,"[('4', '(1.8'), ('512', 'RA')]",011,"['Accelerometer', 'proximity']",102 x 61 x 12,110,3.2,51.0,240 x 320,125,70,1540,Mini-SIM
2013,Vu 3 F300L,LG,4,Android,4.2.2,"[('16', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",,-,5.2,,960 x 1280,308,,2610,Micro-SIM
2013,G Pad 8.3,LG,4,Android,4.2.2,"[('16', '2')]",001,"['Accelerometer', 'gyro', 'compass']",216.8 x 126.5 x 8.3,338,8.3,72.8,1200 x 1920,273,300,4600,
2013,G2,LG,4,Android,4.2.2,"[('16', '2'), ('32', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",138.5 x 70.9 x 8.9,143,5.2,75.9,1080 x 1920,424,270,3000,Micro-SIM
2013,Optimus L9 II,LG,2,Android,4.1.2,"[('8', '1')]",011,"['Accelerometer', 'proximity', 'compass']",128.4 x 66.5 x 9,120,4.7,71.3,720 x 1280,312,250,2150,Mini-SIM
2013,Enact VS890,LG,2,Android,4.1.2,"[('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",111 x 52.3 x 15.8,169.8,4.0,78.4,480 x 800,233,260,2460,
2013,Optimus GJ E975W,LG,4,Android,4.1.2,"[('16', '2')]",011,"['Accelerometer', 'gyro', 'proximity', 'compass']",136.9 x 68.9 x 9.4,141.2,4.7,64.6,720 x 1280,312,270,2280,Micro-SIM
2013,Optimus L4 II Dual E445,LG,1.0,Android,4.1.2,"[('4', '512')]",011,"['Accelerometer', 'proximity', 'compass']",112.8 x 64.7 x 11.9,125,3.8,58.9,320 x 480,152,110,1700,
2013,Optimus L4 II E440,LG,1.0,Android,4.1.2,"[('4', '512')]",011,"['Accelerometer', 'proximity', 'compass']",112.5 x 64.7 x 11.9,125,3.8,59.1,320 x 480,152,110,1700,Micro-SIM
2013,Optimus Zone VS410,LG,800.0,Android,2.3.6,"[('4', '512')]",011,"['Accelerometer', 'proximity', 'compass']",102.6 x 61.5 x 11.9,110,3.2,50.3,240 x 320,125,60,1540,
2013,Optimus F3,LG,2,Android,4.1.2,"[('4', '1')]",111,"['Accelerometer', 'proximity']",116.1 x 62 x 10.1,113.4,4.0,63.3,480 x 800,233,100,2460,Micro-SIM
2013,Lucid2 VS870,LG,2,Android,4.1.2,"[('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",122.5 x 62.8 x 9.8,129,4.3,66.3,540 x 960,256,270,2460,Micro-SIM
2013,Optimus F7,LG,2,Android,4.1.2,"[('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",131.7 x 68.2 x 9.6,133.2,4.7,67.4,720 x 1280,313,150,2540,Micro-SIM
2013,Optimus F6,LG,2,Android,4.1.2,"[('4', '1'), ('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",128 x 65.9 x 10.2,126,4.5,66.2,540 x 960,245,200,2460,Micro-SIM
2013,Optimus F5,LG,2,Android,4.1.2,"[('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",126 x 64.5 x 9.3,131,4.3,62.7,540 x 960,256,220,2150,
2013,Optimus G Pro E985,LG,4,Android,4.1.2,"[('16', '2'), ('32', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",150.2 x 76.1 x 9.4,172,5.5,73.0,1080 x 1920,401,400,3140,Micro-SIM
2013,Optimus L7 II Dual P715,LG,2,Android,4.1.2,"[('4', '768')]",011,"['Accelerometer', 'proximity', 'compass']",122.2 x 66.6 x 9.7,115.5,4.3,64.7,480 x 800,217,150,2460,
2013,Optimus L7 II P710,LG,2,Android,4.1.2,"[('4', '768')]",011,"['Accelerometer', 'proximity', 'compass']",121.5 x 66.6 x 9.7,118,4.3,65.0,480 x 800,217,180,2460,Micro-SIM
2013,Optimus L5 II Dual E455,LG,1.0,Android,4.1.2,"[('4', '(1.75'), ('512', 'RA')]",011,"['Accelerometer', 'proximity', 'compass']",118.4 x 62.2 x 9.2,100,4.0,61.8,480 x 800,233,120,1700,Mini-SIM
2013,Optimus L5 II E460,LG,1.0,Android,4.1.2,"[('4', '(1.4'), ('512', 'RA')]",011,"['Accelerometer', 'proximity', 'compass']",117.5 x 62.2 x 9.2,103.3,4.0,62.3,480 x 800,233,140,1700,Micro-SIM
2013,Optimus L3 II Dual E435,LG,1.0,Android,4.1.2,"[('4', '(1.6'), ('512', 'RA')]",011,"['Accelerometer', 'proximity', 'compass']",102.9 x 61.3 x 11.9,110,3.2,50.3,240 x 320,125,90,1540,Mini-SIM
2013,Optimus L3 II E430,LG,1.0,Android,4.1.2,"[('4', '(1.6'), ('512', 'RA')]",011,"['Accelerometer', 'proximity', 'compass']",102.6 x 61.1 x 11.9,107,3.2,50.6,240 x 320,125,90,1540,Mini-SIM
2013,Optimus L1 II E410,LG,1.0,Android,4.1.2,"[('4', '(1.6'), ('512', 'RA')]",011,"['Accelerometer', 'proximity']",102.9 x 59.2 x 12.2,105,3.0,45.8,240 x 320,133,60,1540,Mini-SIM
2012,Nexus 4 E960,LG,4,Android,4.2,"[('8', '2'), ('16', '2')]",011,"['Accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",133.9 x 68.7 x 9.1,139,4.7,68.3,768 x 1280,318,250,2100,Micro-SIM
2013,A390,LG,416.0,,,"[('40',)]",001,[''],114.4 x 51.8 x 13.2,92,2.2,25.3,240 x 320,182,40,1700,Mini-SIM
2013,A395,LG,104.0,,,"[('128',)]",001,[''],114.4 x 51.6 x 13,97,2.2,25.4,240 x 320,182,90,1500,Mini-SIM
2013,C299,LG,,,,"[('128',)]",001,[''],110 x 70 x 10,101,2.2,19.5,240 x 320,182,,950,Mini-SIM
2012,Tri Chip C333,LG,,,,"[('78.4',)]",001,[''],108.9 x 59.6 x 12.1,98.2,2.3,25.2,240 x 320,174,100,1110,Mini-SIM
2012,Spectrum II 4G VS930,LG,2,Android,4.0,"[('16', '1')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",134.9 x 68.3 x 9.1,148,4.7,66.1,720 x 1280,312,170,2150,Mini-SIM
2012,Mach LS860,LG,2,Android,4.0,"[('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",117.9 x 65 x 12.2,167.8,4.0,59.4,480 x 800,233,150,1700,Mini-SIM
2012,Optimus L9 P769,LG,2,Android,4.0.4,"[('4', '1')]",011,"['Accelerometer', 'proximity', 'compass']",127.8 x 68.8 x 9.1,119.1,4.5,63.5,540 x 960,245,170,2150,Micro-SIM
2013,Optimus Vu II,LG,2,Android,4.0.4,"[('16', '2')]",011,"['Accelerometer', 'gyro', 'proximity', 'compass']",132.2 x 85.6 x 9.4,159,5.0,68.4,768 x 1024,256,,2150,Micro-SIM
2012,Optimus Vu II F200,LG,2,Android,4.0.4,"[('2', 'RA')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",132.2 x 85.6 x 9.4,159,5.0,68.4,768 x 1024,256,180,2150,Micro-SIM
2012,Optimus G E970,LG,4,Android,4.0,"[('16', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",130.8 x 71.6 x 8.4,147.1,4.7,67.1,768 x 1280,318,250,2100,Micro-SIM
2012,Optimus G LS970,LG,,Android,4.0,"[('32', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",131.9 x 68.9 x 8.5,144.9,4.7,69.2,768 x 1280,318,480,2100,Micro-SIM
2012,Optimus G E975,LG,4,Android,4.1.2,"[('32', '(25'), ('2', 'RA')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",131.9 x 68.9 x 8.5,145,4.7,69.2,768 x 1280,318,160,2100,Micro-SIM
2012,Intuition VS950,LG,2,Android,4.0.4,"[('32', '1')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",139.7 x 90.4 x 8.4,168.1,5.0,61.3,768 x 1024,256,190,2080,Micro-SIM
2012,Splendor US730,LG,1.0,Android,4.0.4,"[('4', '768')]",011,"['Accelerometer', 'proximity', 'compass']",125 x 67 x 9,120,4.3,62.8,480 x 800,217,120,1700,Mini-SIM
2012,Escape P870,LG,2,Android,4.0.4,"[('4', '1')]",111,"['Accelerometer', 'proximity', 'compass']",126 x 65 x 9,128,4.3,62.2,540 x 960,256,180,2150,Mini-SIM
