year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2012,Xperia miro,Sony,800.0,Android,4.0,"[('4', '(2.2'), ('512', 'RA')]",011,"['Accelerometer', 'proximity', 'compass']",113 x 59.4 x 9.9,110,Mini-SIM,3.5,54.3,320 x 480,165,150,1500
2012,Xperia go,Sony,2,Android,2.3,"[('8', '(4'), ('512', 'RA')]",011,"['Accelerometer', 'proximity', 'compass']",111 x 60.3 x 9.8,110,Mini-SIM,3.5,54.5,320 x 480,165,160,1305
2012,Xperia acro S,Sony,2,Android,4.0,"[('16', '(11'), ('1', 'RA')]",011,"['Accelerometer', 'gyro', 'proximity', 'compass']",126 x 66 x 11.9,147,Mini-SIM,4.3,61.3,720 x 1280,342,230,1910
2012,Xperia SX SO-05D,Sony,2,Android,4.0,"[('4', '1')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",115 x 54 x 9.4,95,Micro-SIM,3.7,60.8,540 x 960,298,220,1500
2012,Xperia GX SO-04D,Sony,2,Android,4.0,"[('16', '1')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",131 x 69 x 8.6,127,Micro-SIM,4.6,64.5,720 x 1280,319,290,1700
2012,Xperia acro HD SO-03D,Sony,2,Android,2.3,"[('11', '1')]",011,"['Accelerometer', 'gyro', 'proximity', 'compass']",126 x 66 x 11.9,149,Micro-SIM,4.3,61.3,720 x 1280,342,290,1910
2012,Xperia acro HD SOI12,Sony,2,Android,2.3,"[('11', '1')]",011,"['Accelerometer', 'gyro', 'proximity', 'compass']",126 x 66 x 11.9,149,Micro-SIM,4.3,61.3,720 x 1280,342,280,1900
2012,Xperia neo L,Sony,1.0,Android,4.0.4,"[('1', '(300'), ('512', 'RA')]",011,"['Accelerometer', 'proximity', 'compass']",121 x 61.1 x 12.2,131.5,Mini-SIM,4.0,59.6,480 x 854,245,150,1500
2012,Xperia sola,Sony,2,Android,2.3,"[('8', '(5'), ('512', 'RA')]",011,"['Accelerometer', 'proximity', 'compass']",116 x 59 x 9.9,107,Mini-SIM,3.7,55.1,480 x 854,265,120,1320
2012,Xperia U,Sony,2,Android,2.3,"[('8', '(4'), ('512', 'RA')]",011,"['Accelerometer', 'proximity', 'compass']",112 x 54 x 12,110,Mini-SIM,3.5,55.8,480 x 854,280,140,1320
2012,Xperia P,Sony,2,Android,2.3,"[('16', '(13'), ('1', 'RA')]",011,"['Accelerometer', 'gyro', 'proximity', 'compass']",122 x 59.5 x 10.5,120,Micro-SIM,4.0,60.8,540 x 960,275,210,1305
2012,Xperia S,Sony,2,Android,2.3,"[('32', '1')]",011,"['Accelerometer', 'gyro', 'proximity', 'compass']",128 x 64 x 10.6,144,Micro-SIM,4.3,62.2,720 x 1280,342,230,1750
2012,Xperia ion HSPA,Sony,2,Android,2.3,"[('13.2', '(12.9'), ('1', 'RA')]",011,"['Accelerometer', 'gyro', 'proximity', 'compass']",133 x 68 x 10.8,144,Micro-SIM,4.55,63.1,720 x 1280,323,250,1900
2012,Xperia ion LTE,Sony,2,Android,2.3,"[('16', '1')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",133 x 68 x 10.8,144,Mini-SIM,4.55,63.1,720 x 1280,323,210,1900
2012,Tablet P,Sony,2,Android,3.2,"[('4', '1')]",001,"['Accelerometer', 'gyro', 'compass']",180 x 158 x 14,372,Mini-SIM,5.5,26.4,1024 x 480,206,210,3080
2011,Tablet P 3G,Sony,2,Android,3.2,"[('4', '1')]",111,"['Accelerometer', 'gyro', 'compass']",180 x 158 x 14,372,Mini-SIM,5.5,26.4,1024 x 480,206,180,3080
2011,Tablet S 3G,Sony,2,Android,3.2,"[('16', '1'), ('32', '1')]",011,"['Accelerometer', 'gyro', 'compass']",241.2 x 174.3 x 10.1-20.6,625,Mini-SIM,9.4,60.9,800 x 1280,161,260,
2011,Tablet S,Sony,2,Android,3.1,"[('16', '1'), ('32', '1')]",001,"['Accelerometer', 'gyro', 'compass']",241.2 x 174.3 x 10.1-20.6,598,,9.4,60.9,800 x 1280,161,180,
2024,Redmi Note 13 Pro 4G,Xiaomi,8,Android,13,"[('256', '8'), ('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",161.1 x 75 x 8,188,Nano-SIM,6.67,88.9,1080 x 2400,395,,5000
2024,Redmi Note 13 4G,Xiaomi,8,Android,13,"[('128', '6'), ('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",162.3 x 75.6 x 8,188.5,Nano-SIM,6.67,87.5,1080 x 2400,395,199.00,5000
2023,Redmi Note 13 Pro+,Xiaomi,8,Android,13,"[('256', '8'), ('256', '12'), ('512', '8'), ('512', '12'), ('512', '16')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",161.4 x 74.2 x 8.9,199,Nano-SIM,6.67,89.7,1220 x 2712,446,449.00,5000
2023,Redmi Note 13 Pro,Xiaomi,8,Android,13,"[('128', '8'), ('256', '8'), ('256', '12'), ('512', '12'), ('512', '16')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",161.2 x 74.2 x 8,187,Nano-SIM,6.67,89.8,1220 x 2712,446,339.00,5100
2024,Redmi Note 13,Xiaomi,8,Android,13,"[('128', '6'), ('256', '8'), ('256', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",161.1 x 75 x 7.6,174.5,Nano-SIM,6.67,88.9,1080 x 2400,395,254.09,5000
2024,Poco X6 Pro,Xiaomi,8,Android,14,"[('256', '8'), ('256', '12'), ('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",160.5 x 74.3 x 8.3,186,Nano-SIM,6.67,90.1,1220 x 2712,446,369.00,5000
2024,Poco X6,Xiaomi,8,Android,13,"[('256', '8'), ('256', '12'), ('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",161.2 x 74.3 x 8,181,Nano-SIM,6.67,89.7,1220 x 2712,446,299.00,5100
2024,Poco M6 Pro,Xiaomi,8,Android,13,"[('256', '8'), ('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",161.1 x 75 x 8,179,Nano-SIM,6.67,88.9,1080 x 2400,395,229.00,5000
2023,Poco M6,Xiaomi,8,Android,13,"[('128', '4'), ('128', '6'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'compass']",168 x 78 x 8.1,195,Nano-SIM,6.74,83.7,720 x 1600,260,,5000
2023,Redmi 13R,Xiaomi,8,Android,13,"[('128', '4')]",111,"['Fingerprint', 'accelerometer', 'compass']",168.1 x 77.9 x 8.2,195,Nano-SIM,6.74,83.8,720 x 1600,260,130,5000
2023,Redmi 13C 5G,Xiaomi,8,Android,13,"[('128', '4'), ('128', '6'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'compass']",168 x 78 x 8.1,192,Nano-SIM,6.74,83.7,720 x 1600,260,,5000
2023,Redmi K70 Pro,Xiaomi,8,Android,14,"[('256', '12'), ('256', '16'), ('512', '16'), ('1', '24')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'gyro', 'compass', 'color spectrum']",160.9 x 75 x 8.2,209,Nano-SIM,6.67,89.0,1440 x 3200,526,430,5000
2023,Redmi K70,Xiaomi,8,Android,14,"[('256', '12'), ('256', '16'), ('512', '16'), ('1', '16')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'gyro', 'compass', 'color spectrum']",160.9 x 75 x 8.2,209,Nano-SIM,6.67,89.0,1440 x 3200,526,320,5000
2023,Redmi K70E,Xiaomi,8,Android,14,"[('256', '8'), ('256', '12'), ('512', '12'), ('1', '16')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'gyro', 'compass']",160.5 x 74.3 x 8.1,198,Nano-SIM,6.67,90.1,1220 x 2712,446,260,5500
2023,Redmi Watch 4,Xiaomi,,HyperOS,,"[('Unspecified', 'storage')]",111,"['Accelerometer', 'heart rate', 'compass', 'gyro', 'SpO2']",47.6 x 41.1 x 10.5,31.5,,1.97,,450 x 390,302,70,470
2023,Redmi Note 13R Pro,Xiaomi,8,Android,13,"[('256', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",161.1 x 75 x 7.7,175,Nano-SIM,6.67,88.9,1080 x 2400,395,260,5000
2023,Redmi 13C,Xiaomi,8,Android,13,"[('128', '4'), ('128', '6'), ('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'compass']",168 x 78 x 8.1,192,Nano-SIM,6.74,83.7,720 x 1600,260,123.10,5000
2023,Poco C65,Xiaomi,8,Android,13,"[('128', '4'), ('128', '6'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'compass']",168 x 78 x 8.1,192,Nano-SIM,6.74,83.7,720 x 1600,260,,5000
2023,14 Pro,Xiaomi,8,Android,14,"[('256', '12'), ('512', '16'), ('1', '16')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'gyro', 'compass', 'barometer', 'color spectrum']",161.4 x 75.3 x 8.5,223,Nano-SIM,6.73,89.6,1440 x 3200,522,650,4880
2023,14,Xiaomi,8,Android,14,"[('256', '8'), ('256', '12'), ('512', '16'), ('1', '16')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'gyro', 'compass', 'barometer', 'color spectrum']",152.8 x 71.5 x 8.2,188,Nano-SIM,6.36,89.3,1200 x 2670,460,520,4610
